question,answer,topic,source
Quantas células existem no corpo humano?,30 trilhões de células,Biologia,Revista Nature
Qual o PIB anual do Brasil?,2 trilhões de dólares,Economia,FMI 2024
Quantas árvores existem na Amazônia?,390 bilhões de árvores,Meio Ambiente,Science Magazine
Quantas estrelas existem na Via Láctea?,400 bilhões de estrelas,Astronomia,NASA
Quantos bytes de dados são gerados diariamente na internet?,330 bilhões de bytes,Tecnologia,Cisco
Quantos transistores estão em operação globalmente?,10 quintilhões de transistores,Tecnologia,IEEE Spectrum
Quantas formigas existem na Terra?,20 quadrilhões de formigas,Biologia,National Geographic
Quantas moléculas de água há no oceano Atlântico?,4 quintilhões de moléculas,Química,NOAA
Quantas operações por segundo o supercomputador Frontier realiza?,1.1 quintilhão de operações,Tecnologia,TOP500
Quantas partículas elementares existem no universo observável?,10^89 partículas,Física,Scientific American
